WB,ET0,SWC,ET,DELTA,F,f,PERC,Q,InF,Loss,PerLoss
0.0,0.022,0.9489,0.01892,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.03,0.9299799999999999,0.0258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.025,0.9041799999999999,0.021500000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.045,0.8826799999999999,0.0387,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.051,0.84398,0.043859999999999996,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.054,0.8001199999999999,0.04644,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.049,0.7536799999999999,0.042140000000000004,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.037,0.71154,0.03182,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.024,0.67972,0.02064,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.014,0.65908,0.01204,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.006,0.64704,0.00516,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.6418799999999999,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.6392999999999999,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.6375799999999998,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.6367199999999998,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.6367199999999998,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.009,0.6349999999999998,0.0077399999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.016,0.6272599999999998,0.01376,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.025,0.6134999999999998,0.021500000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.038,0.5919999999999999,0.03268,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.055,0.5593199999999998,0.0473,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.055,0.5120199999999998,0.0473,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.044,0.4647199999999998,0.03784,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.045,0.4268799999999998,0.0387,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.037,0.3881799999999998,0.03182,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.021,0.3563599999999998,0.01806,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.011,0.33829999999999977,0.00946,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.006,0.32883999999999974,0.00516,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.32367999999999975,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.3210999999999997,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.3202399999999997,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.31937999999999966,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.31851999999999964,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.3176599999999996,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.3167999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.3167999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.3167999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.3167999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.3167999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.3167999999999996,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.009,0.31593999999999955,0.0077399999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.024,0.30819999999999953,0.02064,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.034,0.28755999999999954,0.029240000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.043,0.25831999999999955,0.03698,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.056,0.22133999999999954,0.04816,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.059,0.17317999999999953,0.05073999999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.054,0.12243999999999954,0.04644,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.052,0.07599999999999954,0.044719999999999996,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.043,0.048,0.03698,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.03,0.048,0.0258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.017,0.048,0.014620000000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.008,0.048,0.00688,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.004,0.048,0.00344,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.002,0.048,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.048,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,0.048,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,0.048,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
1.08,0.0,0.048,0.0,0.40399999999999997,3.879255501949034,2.3398180636887833,0.0,0.0,1.08,0.0,0.0
0.0,0.0,1.1280000000000001,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1280000000000001,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1280000000000001,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1280000000000001,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1280000000000001,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,1.1280000000000001,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.009,1.12714,0.0077399999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.022,1.1194,0.01892,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.026,1.10048,0.022359999999999998,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.032,1.07812,0.02752,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.049,1.0506,0.042140000000000004,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.059,1.00846,0.05073999999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.059,0.9577199999999999,0.05073999999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.053,0.9069799999999999,0.045579999999999996,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.043,0.8613999999999999,0.03698,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.027,0.8244199999999999,0.02322,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.014,0.8011999999999999,0.01204,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.006,0.7891599999999999,0.00516,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.005,0.7839999999999998,0.0043,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.004,0.7796999999999998,0.00344,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.7762599999999998,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.003,0.7736799999999998,0.00258,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
